Article_id,author_id
52,176
54,115
164,134
164,157
390,109
242,161
242,143
242,130
72,68
50,179
139,7
139,39
139,63
155,39
309,55
67,19
255,41
25,72
138,7
138,39
138,63
279,11
121,7
121,39
121,63
43,146
249,11
41,158
239,82
187,42
21,124
346,91
198,130
299,19
321,2
262,120
101,77
180,92
265,14
39,66
39,3
36,24
140,19
140,39
347,133
130,28
34,168
317,115
158,10
266,160
257,41
35,90
58,31
143,14
85,170
46,12
267,120
194,95
15,171
82,11
245,11
81,65
14,160
29,64
29,125
214,155
244,91
0,4
322,2
315,159
295,46
295,151
88,56
33,75
195,11
207,4
207,61
206,123
160,7
89,54
281,167
44,176
223,123
216,24
329,66
129,67
381,15
310,30
303,73
193,19
316,159
183,92
134,10
12,19
45,12
70,100
284,55
353,68
353,69
338,88
133,45
133,127
170,11
13,11
323,2
246,11
150,7
2,155
188,42
358,80
392,178
305,39
93,119
1,155
306,39
380,3
370,98
260,48
200,92
234,109
307,110
307,138
288,84
254,41
297,39
128,34
68,53
94,8
238,97
367,32
367,78
196,135
269,24
64,160
181,39
386,120
204,160
141,152
141,23
264,171
192,24
337,68
337,69
280,164
302,171
56,160
219,161
219,38
219,142
219,130
47,58
256,90
256,14
368,167
209,58
86,34
147,13
289,56
30,58
342,58
63,146
122,68
122,46
27,68
182,15
345,29
270,67
222,81
163,24
272,19
152,68
391,140
276,160
66,164
277,160
137,156
203,160
349,9
383,145
176,39
112,39
38,92
6,172
6,137
339,169
300,160
69,39
69,10
111,39
296,38
296,130
178,92
146,111
23,160
286,26
177,39
184,178
224,35
166,92
37,51
213,44
213,110
119,69
275,34
332,109
332,175
65,71
110,60
217,19
55,110
233,109
333,39
350,170
287,121
226,37
226,129
232,109
174,41
356,160
108,176
283,79
364,166
79,79
271,69
326,155
326,66
325,155
325,66
32,10
319,3
318,162
105,41
324,153
114,3
106,155
159,10
290,176
225,37
225,129
301,75
301,4
268,51
241,144
241,75
241,110
167,155
167,66
167,109
136,90
92,92
77,0
102,134
102,44
104,41
157,43
171,2
186,42
4,176
189,159
90,41
40,39
278,28
16,171
212,92
220,67
179,92
357,24
354,114
211,19
211,90
229,41
87,41
172,2
218,34
197,113
71,92
243,139
96,18
132,49
298,152
298,177
5,160
109,11
385,69
173,2
28,92
116,39
389,74
335,155
335,108
175,41
127,92
292,110
369,41
115,148
123,17
384,69
376,68
376,69
199,165
73,53
273,52
273,39
273,90
60,173
118,39
252,107
372,96
331,147
117,155
228,160
190,90
24,21
231,3
75,64
294,47
388,160
98,112
95,160
18,132
371,41
26,162
53,39
99,116
375,68
375,69
113,5
100,76
235,36
78,65
9,28
248,11
230,3
374,68
374,69
3,6
336,92
84,174
327,64
327,125
156,106
145,160
382,6
387,87
19,92
202,106
334,138
334,177
334,144
191,90
97,0
169,59
311,160
320,160
144,41
7,8
153,163
247,11
20,39
20,10
185,42
165,25
355,161
355,126
261,161
51,33
365,120
215,92
361,16
282,166
76,89
304,154
304,125
142,160
131,40
205,90
17,90
17,39
313,85
343,58
49,58
125,16
359,20
210,34
61,70
62,94
348,53
107,41
91,92
378,120
10,82
168,41
124,63
124,175
151,50
379,155
8,122
8,128
328,149
312,86
352,99
352,27
352,141
259,34
377,120
48,58
291,135
57,0
274,90
366,150
120,68
120,69
42,117
253,103
201,91
341,58
351,99
351,27
351,141
11,101
149,80
236,104
258,34
250,143
250,125
344,58
80,62
103,5
285,170
227,155
227,22
240,118
240,131
314,159
59,39
251,41
373,83
74,53
161,119
22,124
330,160
154,155
162,152
162,93
208,39
126,91
31,57
293,136
340,58
148,105
360,80
237,160
221,123
363,102
135,10
83,89
308,37
308,129
362,1
263,39
