Source,Source_id,image
South Wales Argus,6,https://www.southwalesargus.co.uk/resources/images/small_site_logo/
Glasgow Times,1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/GlasgowTimes.jpg/270px-GlasgowTimes.jpg
The Guardian,8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/The_Guardian_2018.svg/350px-The_Guardian_2018.svg.png
The Independent,9,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/The_Independent_news_logo.svg/250px-The_Independent_news_logo.svg.png
PA Media: UK News,4,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/PA_Media_logo.png/350px-PA_Media_logo.png
Yahoo News UK,13,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yahoo_news_logo.svg/350px-Yahoo_news_logo.svg.png
The Telegraph,11,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/The_Telegraph.svg/137px-The_Telegraph.svg.png
The National,10,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAATcAAACiCAMAAAATIHpEAAAAflBMVEX///8AAADf39+5ubnm5uZxcXGcnJxdXV3v7+/5+fnHx8dra2u/v7/T09Onp6dPT08TExN6enqVlZWKiorb29vPz89jY2ONjY2Xl5esrKyAgIDr6+tYWFhpaWn19fWysrI5OTlKSkpBQUEhISEvLy8lJSUVFRUyMjI9PT0pKSnhZ0aRAAALhUlEQVR4nO2b53rkqBKGQVlqSW3l0EEdHO//Bk8VKADSeM54vPbj3fp+jBWILwVVoB7GSCQSiUQikUgkEolEIpFIJBKJRCKRSCQSiUQikUgkEolEIpFIJBKJRCKRSCQSiUQikUgkEolEIpH+3Yq+uwE/U3353S34ibIG1/ruNvxEWRfnu5vwI1VwWt4+ojijafohed/dgB8q+7sbQCKR3pPDgu9uwo/U4P2HY7c4/WjO48kM3aJ2dyq6j8Askj9Lf+YPDw+c732/xouj7x+fODzjgwXP/Dtcwd9jgWkzeHuFd2+17+/PeHeDu0e4Qx25yLdEUxEWio9mMAMWj+n3SgteuHLziOn59ejXj3Bxg+QXUWq21fbbqVJvg2wXn+FvUrwqPraFOvdYxEyzx4ZfoeheyctdrWhsqY+5sGPxJjeQrAYazLFeVt7gqhPP9nClbZsjeLBUEWt31SvcGlEoFi9LHRX2egKHqwH/HVJ7IV65cCUafHC1ShTZmqW2StX1XbM5CxuhjhWLNeIQBHLOVsJcW/WigNvD2C3kNq6ztcpNs2AktVtabnTJX3F74kaSs2E6OecnLfk4TO48ntgpjZts0DlR7SC88lC5zfig3JXYNW0/Zhsz/GWuTCnyN9ymnircYL58iBvYi8Ft13DdZE1uaGFLj5/m/irc2G6sJBR5A37dFxeYE69KqXd+0Ip94co+IukecRFRXhvc0CCPzNBvuM3zRuVWfZBbbHLzhbW/KBXq3BJ8vdjG/TJdqdxCWUnLr/hn4KP8pZg3Xuj1JmqpSVdh+nx5bXAruNL3Sb/hNo+Tyo29fYwbW3MT3eyWCnVuGfK5LtnnuadyYxlUmdzlVKtuIzZldavXvQZ/Mq9xSYoriJrG4Ha86eUJvc9tMXaNWypL+WNuhXH4CjYh+jlPRYObH+DbZezmFxq3pBYe6QmvvRGbsrrZKvqpA5xf5uwpC3QD1blFQ6pPCqF3uQWLJWjcnD+3N9GUg77MIDfhzWZaOjfbxiV5WYuWqaRxY7CYHC49lu3EYpHfq15ALWGSpeQHbhL3TEvndgoFVmOqvMtNkcZt1B9wC+utQnGIe7VROjdfGIY0JF06Nyg+Enf9G8d2PvRKoIElGHEFEzDfxkvkJjz7fW64yg1bfoW3xhL5RdzizRjLnxowTSSNW+COEeT604rBzQYyod1Ns/TSMqcv4yhIIumS1xvVy9J0wQ0jz9ksNW5DLJ3Ng17AF3Grf8lNJJsgaNy8aqyjX2U07e3IzvXRt14REr8fi5fJq3bWdv8yeNrIS8ENncfcQY0bRiACkm60X8Mt2N4LyaX4tjRB47afClm3z+BmQTXe88VyBbfnZz4r7damgsLVYXR6kptYw8YYW+UWiBadVi7ua7jd3uPm8Hn5ULlZ8pG2Yk8yuA3opwpeZw9c10mkfFzX3C7dltzkHJc2pXJrRQfFNFadzV9zW+1PdW5+UlVR+8zf4yZdg1jKVW6FdBbY8ZVTMbhFkPl8CHeNyS0WS/ptXTOa4RjgjNzY80xY5TauvJwbe62/5Za1+azWXXHb28PQYcD9HjfRKtFAldvY4mo11MzkdhDM28B6M7A9hEvRukS8LQdm4iYqEtcKN2tcBHFotb3/33KLD86sQ/ereXp5n9vsGhRu1RSh47vOyKhzG48eDpGBDSf//89NugYsS+E2RTRix6f2/2vWt8P73MRswlYo3NzJxvKNmWb6U6ybuW/82VexoSt8eWeeSiYzN+EasMEKt9nG0JTV8PmL4pDTr+MQlIgWGo0bz1ypelmKZq24dSUs9cdrp5kbtg09oblHYqMXkJczN/mwVLlVl7EV2Y3r/uXb416pXsJZuMXLDhNj1FbPuGFv7PDIo3pxDNebcFlorXe2Ei65F3m5cBO7hkeV29IZc6/1RdyCX+6zRsl5tXBT0m/stTa4hUPkzIdI4BKenpcIYl1zxuedk8JNuIZB4aYcmu65ttf6Im5s8/uKwk24hiicuJ0V+wzG6aNoy94sVg788T6Be/Fk06bFXteR6/usUWJNWLjZyrHKoIP6Km6jjHMi5Rpdw33m1qm7Guykvtfa4hZUWe3zRyyHX/Y9s2SCjK/OMmR3ptVK5SaGqI8mbmr7jL3WFrd844PtJ3HTXZvaLuEa+gmPdi693mttcEvfXti9vzQv4xIHnvUtDWW5AzMUcP0caZZwDcWIRz+d0fdaW9wua7v+JG6RHkqp3KRrGFcQRz+1wTfa97YtbtwK/VZd4kb7cDc+eEWKk9W4ieOTyazSxMijkNrgFmysB5/E7aTF3Do3pnBr9ZmFmE7mA4PbucIoMZP4R4lw+byxELnK3NW5VQo342MMVyvd4Ob9Y9wc47uQzs1euBktXu21ttY3WLqzypVL1Khiym18HA7V7wU6N+EaJDcr117oe601t3DL/3wOt9u73PBASfa0NA+2ubFIbXPro7Gho/wxWk7NCK6fzt5QBrfzzK0xfhJRcoXBmtvpH+O2M79DGtysiVtv1oRhqro0bnNDpQu2JVbu9G1epYXRBjd0DZLb6psphsVT4hU3/BS8we154/Ef/c6BOZhcb4sZDPcjt5PxXB7RKXut+XcOpqwFm/ZNXm2IrZ/nleahwZPklpjPhbOd3YnO7TAfCihtaT1PDGPjee3YWgefIcve8zwx8h1ciEPC1PPyEO/AvPgF7oSai+jMbDQlFvAEL1q1MgjTIEPvw/O5285UfQ0Fn1mYwy0WtoNEq2gaprqYqPFgxGzeWyqMOIyPiq+O27E2taCKVyE8v2J3EzWl+AAN1bfYbLwe+9YWr3KodG5nC4TnRPh3HPRQfSbWAUd9Iu6c6c6aXjnOQS8U/1HX+9iTOadCterxKQ6jWbOqOEp5tU83Jgyr8lNfuL1mpoe5eerTvmRT4wItpdqhjc795N/bVWz90Y9EIpH+XOemyRmszrDYNrkIilr8KUjSNCU8s1kSMK85MKfBowIMZos8YVbTVMxuWnQIcdNEkC4AvzUE8LBBB1Y2Kf6PjaBkdg6Z2hzihhg3217eQVlNC0VIB1hB8tiSPz6x2Rm8ygHywDsHy40xd57nLEhZeWAdviix8u4AWQalsqCBlAe4CrBDCXoDB/pURkzUuhny/J0gdI1K1rPpBOiYAh8PK94xfm5wb2yzKIJQTfzfvAYexxjzFSwQZx941gWbI4g6TtD+Tvi1I0scljErhjfRAHmywGlYf4ZnkByP5lwmPWABZbQ7JqL/EwtuSZLgu56Jo6CelamIra0XByo9sbJgA7IqMszilbIDUNmRVQNcRYOIHcVvpz38ldMrnhsWrPt8cFB65fewbbuJ0WNpAaOe9jl6c8/O2bl2wR6aoWHeAWyxjncsciGC6r1eOL4YOrjvTzErS+AxCFce+y12GkbcjbIS/qlZWuLJ+TF1AzFCkS/2juFQYPcHsS1z2SF2E0iOQ1bV8KawwUgvYHhl5MLg7rBQ24WcXlzBv6ngFh89dsYhDHJR9G5sRQ704rIYcKzZ5in/33KDJhXzL5pb5oLFiSm4Z3XHSvwmFKUQt9XpXn5Xi7FZxXiEidwytLfcuwYjNwcyjNyc85gnYqkFz3by96gWSzB6jZssYjnLipGb7ewFt5pFwqzKs9x7lFGytzDviQ0IK2duM3GDUfXgeVih2TeSG7TWcWHqxofURW5Bwz5byC3BX6BdmkJy69DeYKDPVwamVrqw7kVyrfAcMaOiXRMDN0esh3KeOsCNOd7Irckho1e4oRxn0Wg3RyPFviI3r8lK+SaDjOFl4sbQPNtTCfbW2KzA4XuBjGXMfIvVXu0wGyuHuuppnorK7P4UwFRxJefBLYIWCcIIP8Oyka/2fSQSiUQikUgkEolEIpFIJBKJRCKRSCQSiUQikUgkEolEIpFIJBKJRCKRSCQSiUQikUgkEolEIpFIJBLpX6n/ATNhknv9XfsOAAAAAElFTkSuQmCC"
Herald Scotland,2,https://www.heraldscotland.com/resources/images/small_site_logo/
HuffPost UK,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/HuffPost.svg/350px-HuffPost.svg.png
