word_id,Word,Article_Frequency,Title_Frequency
8424,four,158,2
10591,independent,267,2
3027,candidate,975,30
20359,standing,211,5
8053,fill,22,0
22433,two,458,5
23004,vacancy,2,0
22968,usk,5,0
22115,town,82,2
4723,councilits,1,0
21721,thought,116,2
8122,first,672,10
4520,contested,12,0
6777,election,2615,236
23240,volunteer,16,1
4721,council,174,2
19722,since,381,2
21981,tony,109,1
11563,kear,1,0
14553,one,793,12
4813,county,18,0
4724,councillor,38,2
12403,llanbadoc,1,0
23672,welcomed,16,0
17771,renewed,3,0
10883,interest,95,0
4722,councilhe,1,0
18611,said,2567,5
17309,really,248,4
5600,delighted,12,0
19214,see,264,3
12831,many,337,3
17012,put,369,3
13822,name,100,3
8395,forward,83,0
8598,full,276,4
21212,taking,145,1
15845,place,267,0
4727,councilthe,1,0
9367,gwyneth,1,0
6994,elsie,1,0
10152,howells,1,0
537,alex,55,0
10173,hughes,2,0
5193,darchana,1,0
15414,patel,9,0
5905,diane,13,0
18188,richards,1,0
5772,described,104,1
10604,independentlabour,1,0
11431,jonathan,64,0
20590,strachantaylor,1,0
24065,withdrawnthe,2,0
21205,take,486,6
21784,thursday,156,1
11482,july,464,9
16171,poll,827,36
14622,open,83,1
17597,registered,70,0
23275,voter,815,21
390,aged,15,0
17905,requirement,38,0
19601,show,278,7
15689,photo,70,5
23244,vote,1187,24
13323,minister,1393,24
11391,john,160,7
21115,swinney,146,5
19945,snp,393,11
10530,include,75,1
19969,social,269,3
21262,tariff,13,1
7110,energy,126,2
2470,broadband,6,1
13450,mobile,10,0
1979,bill,93,0
12774,manifesto,620,17
23657,weekthe,11,0
16830,proposal,39,0
12543,low,63,1
10539,income,92,0
5993,disability,9,0
6759,elderly,6,0
15458,pay,162,2
11962,le,123,1
15290,party,2589,33
20832,suggesting,53,4
5119,cut,280,1
9399,halfmr,1,0
22853,unveiled,29,0
15874,plan,495,7
21918,today,157,1
434,ahead,214,12
16949,published,51,4
23619,wednesdayread,1,0
14062,next,370,20
19034,scottish,325,4
12197,liberal,284,1
5643,democrat,278,1
15933,pledge,184,4
2221,boost,49,1
23357,wage,19,0
8814,general,1098,84
12783,manifestoimage,1,0
9032,gordon,17,0
21472,terristhe,1,0
24234,would,1898,10
8618,funded,41,0
13444,mixture,2,0
21287,taxation,14,0
14353,obligation,6,0
16732,profit,23,0
4151,company,121,2
3725,claiming,48,0
4689,cost,213,1
1982,billion,121,1
16522,present,32,0
24423,yearthe,20,0
23430,want,491,7
22869,update,24,0
7210,entitlement,8,0
3324,centuryhe,1,0
4127,community,102,0
24255,wrestling,6,0
9822,highest,58,0
12146,level,118,1
8589,fuel,27,0
16376,poverty,22,1
4756,country,524,2
12361,literally,14,0
22580,unbearable,1,0
15536,people,1431,18
5807,despite,102,1
7747,fact,115,0
16711,producing,6,0
23051,vast,23,0
709,amount,36,0
17767,renewable,4,0
7112,energyat,1,0
9663,heart,39,0
4080,commitment,71,0
1059,argue,31,0
16390,power,212,4
17467,reduce,49,0
23348,vulnerable,15,0
19976,society,30,0
8931,give,195,1
12931,material,21,0
4571,contribution,10,0
17469,reducing,17,0
12401,livingtoday,1,0
14163,none,30,0
14635,operate,15,0
24072,without,131,1
4351,connectivity,1,0
99,access,45,1
21402,telecom,3,0
16926,public,363,2
19350,service,268,4
5606,delivered,59,0
13089,mechanism,6,0
23714,wellso,1,0
9000,going,473,0
16835,propose,6,0
7688,extends,1,0
645,also,917,1
12199,liberated,1,0
7538,excessive,3,0
2755,burden,46,0
21653,theyre,119,0
28,able,120,0
23849,wider,31,0
4113,communication,8,0
9037,got,281,1
989,appropriate,22,0
13120,meeting,60,0
3673,circumstancesread,1,0
8941,glasgow,39,1
23733,west,303,1
15255,partick,3,0
6467,drumchapel,3,0
1654,battle,76,5
23306,votesandrew,1,0
1613,bartlett,1,0
3566,chief,100,1
7566,executive,35,0
303,advice,28,0
5978,direct,24,0
19005,scotland,382,4
4081,commitmenthe,1,0
7085,encouraging,12,0
13935,need,466,22
13684,moving,21,0
16118,political,440,4
397,agenda,20,0
23624,week,510,5
18697,saidwe,3,0
1810,believe,115,2
1893,best,149,2
23562,way,245,1
8158,fixing,8,0
22475,uk,165,5
2488,broken,82,2
12872,marketin,1,0
23375,wake,39,0
23960,winter,8,0
19229,seen,182,1
13296,million,225,1
20714,struggling,31,1
340,afford,33,1
9673,heat,10,0
9993,home,272,3
21837,time,877,22
4277,concrete,4,0
162,actionbut,1,0
22060,tory,1925,86
8064,finance,31,0
20244,spokeswoman,6,0
12402,liz,133,0
19912,smith,21,0
9846,hiked,2,0
21283,tax,867,14
14704,ordinary,14,0
19002,scot,20,1
902,anywhere,11,0
22758,united,52,0
11639,kingdom,20,0
19228,seems,41,0
12268,like,398,4
11568,keep,109,3
6449,driving,35,1
9819,higher,86,0
9820,highereverybody,1,0
12545,lower,77,0
12718,make,502,7
9532,hardworking,6,0
9423,hammer,3,1
14211,north,438,3
19078,sea,64,1
14507,oil,89,2
8753,gas,112,1
10647,industry,48,1
11375,job,173,2
18303,riskthis,1,0
9400,halfpriced,1,0
9395,halfbaked,1,0
10261,idea,79,0
13260,might,110,0
20073,sound,16,1
9017,good,238,5
15160,paper,46,0
17306,reality,28,0
15463,paying,40,0
7440,even,265,5
10170,huge,110,0
5161,damage,55,0
6661,economyit,1,0
3984,come,401,1
11901,launched,74,0
21937,todaythe,6,0
10532,included,65,0
10959,introduce,37,0
3148,carers,14,0
13321,minimum,28,0
10112,hour,115,1
23687,well,310,1
7905,fasttracking,2,0
13162,mental,20,0
9640,health,190,0
4729,counsellor,4,0
18985,schoolsthe,5,0
227,additional,28,0
3089,capital,69,0
8622,funding,61,1
1591,barnett,6,0
4367,consequential,4,0
4718,could,677,13
22950,used,136,0
21185,tackle,74,2
10138,housing,110,3
7026,emergency,22,0
12421,local,262,2
7742,facility,12,0
152,across,233,1
17538,reform,1035,23
10789,insists,23,0
811,another,211,2
7604,expect,47,0
23899,win,492,19
12528,lot,175,3
16096,policy,320,6
15095,page,83,1
4557,contract,57,0
6947,electorate,47,1
12673,main,79,0
14096,nigel,357,11
7852,farages,132,4
15311,partyeconomy,1,0
19572,short,60,2
22325,truss,143,4
20510,steroid,4,0
15620,personal,72,2
